year_group,percentile_band,gem_score,word
R,60,8,big
R,60,8,small
R,60,9,happy
R,60,9,sad
R,60,10,hot
R,60,10,cold
R,60,11,fast
R,60,11,slow
R,60,12,good
R,60,12,bad
R,60,13,old
R,60,13,new
R,60,14,wet
R,60,14,dry
R,60,15,full
R,60,15,empty
R,60,16,up
R,60,16,down
R,60,17,in
R,60,17,out
R,60,18,day
R,60,18,night
R,60,19,boy
R,60,19,girl
R,60,20,mum
R,60,20,dad
R,60,21,baby
R,60,21,dog
R,60,22,cat
R,60,22,bird
R,60,23,fish
R,60,23,tree
R,60,24,flower
R,60,24,sun
R,60,25,moon
R,60,25,star
R,60,26,red
R,60,26,blue
R,60,27,green
R,60,27,yellow
R,60,28,black
R,60,28,white
R,60,29,one
R,60,29,two
R,60,30,three
R,60,30,four
R,60,31,five
R,60,31,angry
R,60,32,afraid
R,60,32,brave
R,75,28,kind
R,75,28,funny
R,75,29,quiet
R,75,29,loud
R,75,30,soft
R,75,30,hard
R,75,31,sweet
R,75,31,sour
R,75,32,clean
R,75,32,dirty
R,75,33,tall
R,75,33,short
R,75,34,round
R,75,34,straight
R,75,35,near
R,75,35,far
R,75,36,early
R,75,36,late
R,75,37,open
R,75,37,shut
R,75,38,push
R,75,38,pull
R,75,39,give
R,75,39,take
R,75,40,laugh
R,75,40,cry
R,75,41,smile
R,75,41,frown
R,75,42,jump
R,75,42,skip
R,75,43,crawl
R,75,43,climb
R,75,44,under
R,75,44,over
R,75,45,beside
R,75,45,behind
R,75,46,before
R,75,46,after
R,75,47,tiny
R,75,47,huge
R,75,48,cheerful
R,75,48,upset
R,75,49,chilly
R,75,49,speedy
R,75,50,gentle
R,75,50,rough
R,75,51,tasty
R,75,51,bitter
R,75,52,spotless
R,75,52,messy
R,90,57,enormous
R,90,49,little
R,90,49,curved
R,90,50,close
R,90,50,distant
R,90,51,begin
R,90,51,finish
R,90,52,choose
R,90,52,share
R,90,53,whisper
R,90,53,shout
R,90,54,discover
R,90,54,hide
R,90,55,collect
R,90,55,build
R,90,56,break
R,90,56,smooth
R,90,57,sharp
R,90,58,heavy
R,90,58,light
R,90,59,bright
R,90,59,dark
R,90,60,safe
R,90,60,dangerous
R,90,61,same
R,90,61,different
R,90,62,delighted
R,90,72,miserable
R,90,67,furious
R,90,63,nervous
R,90,89,courageous
R,90,68,generous
R,90,65,selfish
R,90,78,peculiar
R,90,66,ordinary
R,90,67,miniature
R,90,67,rapid
R,90,68,sluggish
R,90,68,silent
R,90,69,noisy
R,90,73,fragile
R,90,70,sturdy
R,90,70,shallow
R,90,71,deep
R,90,71,narrow
R,90,72,wide
R,90,72,ancient
R,90,73,modern
R,90,73,simple
R,90,74,tricky
R,99,70,certain
R,99,71,unsure
R,99,71,notice
R,99,100,wonder
R,99,72,imagine
R,99,73,remember
R,99,74,forget
R,99,74,explain
R,99,75,describe
R,99,76,compare
R,99,76,decide
R,99,77,apple
R,99,77,ball
R,99,78,bear
R,99,79,bed
R,99,79,bee
R,99,80,book
R,99,80,box
R,99,81,bread
R,99,82,bus
R,99,82,cake
R,99,83,car
R,99,83,chair
R,99,84,child
R,99,85,cloud
R,99,85,coat
R,99,86,cow
R,99,87,cup
R,99,87,door
R,99,88,duck
R,99,88,ear
R,99,89,eye
R,99,90,face
R,99,90,farm
R,99,91,feet
R,99,91,frog
R,99,92,game
R,99,94,garden
R,99,93,hand
R,99,94,hat
R,99,94,head
R,99,95,horse
R,99,96,house
R,99,96,juice
R,99,97,key
